"Notice ID","Title","Description","Current Response Date","Last Modified Date","Last Published Date","Contract Opportunity Type","POC Information","Active/Inactive","Awardee","Contract Award Number","Contract Award Date","NAICS","PSC","Modification Number","Set Aside"
"FA446025Q0050","Pavement Markings and Signage IDIQ","This solicitation is for a contract to provide pavement markings and signage for Little Rock AFB IAW the attached PWS. Work for this contract will include paint removal, pavement markings, and removal / replacement of signage for the base. Please refer to the attached work statement for additional details","Sep 22, 2025 10:00 AM CDT","Sep 15, 2025","Sep 15, 2025","Solicitation","Eric Clingenpeel | Beatrice Brown","Active","N/A","N/A","N/A","Highway, Street, and Bridge Construction","MAINTENANCE OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS","N/A","Total Small Business Set-Aside (FAR 19.5)"
"PANHES-25-P-0000-03551","HNC Cost Book Survey 2025","This is a new requirement for Cost Book 2025 Survey. The purpose of this contract is for the government to acquire information on construction costs and productivity data required to update various construction tasks in the CostBook. Once the required data is received from the contractor, it will be compiled and formatted by a third-party contractor into a format readable by the MII, PACES, and RACER cost estimating software.","Sep 25, 2025 03:00 PM CDT","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","Coronica L. Maehew | Wendy D. Fields","Active","N/A","N/A","N/A","Engineering Services","ENGINEERING AND TECHNICAL SERVICES","N/A","Total Small Business Set-Aside (FAR 19.5)"
"HT941025Q2108","NH Guam Surgical Table and Lights","SEE ATTACHED 1. COMBINED SYNOPSIS as of 9152025, 2. STATEMENT OF WORK as of 9112025, 3. BRAND-NAME JUSTIFICATION v2","Sep 17, 2025 03:00 PM PDT","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","Barrett Taylor | CHA-ON Gordon","Active","N/A","N/A","N/A","Surgical Appliance and Supplies Manufacturing","MED & SURGICAL INSTRUMENTS,EQ & SUP","N/A","Total Small Business Set-Aside (FAR 19.5)"
"127EAU25Q0072_1153512","Tonto NF Ground Trash Pickup","The U.S. Forest Service, Tonto National Forest, Cave Creek Ranger District, intends to issue a contract for ground trash pickup and light maintenance services at eight (8) designated recreation sites within the Bartlett Lake and Needle Rock Recreation Areas, Maricopa County, Arizona. The Contractor shall furnish all labor, equipment, materials, tools, and transportation necessary to perform trash collection, micro-trash removal, pressure washing, and light maintenance in accordance with the attached Statement of Work (Attachment 1). Period of Performance: Base Year from September 30, 2025 – September 29, 2026, with four (4) one-year option periods. Service Schedule: Varies by season (Peak Season April–October; Off Season November–March). Specific site requirements and frequencies are provided in Attachment 1 – Statement of Work, along with maps of the service areas. Note: Contractors are advised that potential hazards exist on site, including sharp objects, wildlife (scorpions, snakes), and desert vegetation (cacti). Proper safety precautions must be taken.","Sep 22, 2025 05:00 PM PDT","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","Veronica Beck","Active","N/A","N/A","N/A","Solid Waste Collection","OTHER PROFESSIONAL SERVICES","N/A","Total Small Business Set-Aside (FAR 19.5)"
"140L6425Q0039","F--San Pedro National Conservation Area (SPNCA), Luck","San Pedro National Conservation Area (SPNCA), Lucky Hills Allotment - Herbicide Application/Treatment","Sep 19, 2025 05:00 PM EDT","Sep 15, 2025","Sep 15, 2025","Solicitation","Hariper, Lisa","Active","N/A","N/A","N/A","Support Activities for Forestry","OTHER NAT RES MGMT & CONSERV","N/A","Total Small Business Set-Aside (FAR 19.5)"
"M0068125R0023","Part-Time Jewish Rabbi Services, MRCD, San Diego","Please see Amendment 0002 responding to offeror questions and extending proposal due date. ************************************************************************************************************************* Please see Amendment 0001 responding to offeror questions. ************************************************************************************************************************* The purpose of this contract is to provide Jewish Marine Corps recruits at MCRD, San Diego with weekly Sunday ministry and spiritual services, fostering an environment that supports the free exercise of religion as guaranteed by the First Amendment to the U.S. Constitution. These services will be provided in alignment with Jewish doctrine and military regulations.","Sep 19, 2025 02:00 PM PDT","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","Timothy Johnson | MARIA CACERES","Active","N/A","N/A","N/A","Religious Organizations","SOCIAL- CHAPLAIN","N/A","Total Small Business Set-Aside (FAR 19.5)"
"1232SA25Q0650","Laboratory Supplies & Consumables – Ames, IA","i. This is a combined synopsis/solicitation for commercial items prepared in accordance with the procedures contained in FAR Part 12.6, Acquisition of Commercial Items, and FAR Part 13, Simplified Acquisition Procedures, as supplemented with additional information included in this notice. This announcement constitutes the only solicitation; quotes are being requested and a written solicitation will not be issued. ii. The solicitation number is 1232SA25Q0650 and is issued as a Request for Quotation (RFQ). iii. The solicitation document and incorporated provisions and clauses are those in effect through Federal Acquisition Circular (FAC) Number 2025-05 dated 08/07/2025. iv. This solicitation is issued as a small business set-aside. The associated NAICS code is 339999 the small business size standard is 550 employees. v. List CLINS, item descriptions, quantities and units of measure: 0001 - Supplies for the completion of research on Highly-Pathogenic Avian Influenza vi. Description/Statement of Work/Specification: See Specifications vii. Date(s) and place(s) of delivery and acceptance: Deliver 365 days after award. This requirement shall be FOB Destination. viii. FAR Provision 52.212-1, Instructions to Offerors-Commercial, is incorporated by reference and applies to this acquisition. Please see the attached RFQ terms and conditions for the submission requirements and its addendum. ix. Evaluation: For the evaluation criteria, please see the attached RFQ terms and conditions. x. Quoters are required to complete in full FAR Provision 52.212-3, Offeror Representations and Certifications-Commercial Items (DEVIATION), with their quote online at SAM: www.sam.gov. An quoter must state in their quote if they completed FAR 52.212-3 online and that is it up-to-date and valid. See the attached RFQ terms and conditions for more requirements. System updates may lag policy updates. The System for Award Management (SAM) may continue to require entities to complete representations based on provisions that are not included in agency solicitations, including 52.223-22, Public Disclosure of Greenhouse Gas Emissions and Reduction Goals—Representation, and paragraph (t) of 52.212-3, Offeror Representations and Certifications—Commercial Products and Commercial Services. Agencies will not consider or use these representations. Entities are not required to, nor are they able to, update their entity registration to remove these representations in SAM xi. FAR Clause 52.212-4, Contract Terms and Conditions-Commercial Items, applies to this acquisition. Please see the attached RFQ terms and conditions for its Addendum. xii. FAR Clause 52.212-5, Contract Terms and Conditions Required to Implement Statutes or Executive Orders-Commercial Items (DEVIATION), is incorporated and applies to this acquisition. Please see the attached RFQ terms and conditions that are applicable to the acquisition. xiii. There are no additional contract requirement(s) or terms and conditions (such as contract financing arrangements or warranty requirements) determined by the contracting officer to be necessary for this acquisition and consistent with customary commercial practices. xiv. The Defense Priorities and Allocations System (DPAS) and assigned ratings are not applicable to this solicitation. xv. Date, time and place quotes are due. Quotes are due by 1:00PM Eastern - 09/19/2025 Submit quotes to the following e-mail address(es), by the quote due date and time: peter.b.nelson@usda.gov Late quotes after the established deadline may be considered only if it is in the government’s best interest and if it will not unduly delay award. xvi. Any and all questions regarding this solicitation shall be submitted in writing to Peter Nelson – peter.b.nelson@usda.gov no later than 5:00PM Eastern on 09/17/2025","Sep 19, 2025 01:00 PM EDT","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","Peter Nelson","Active","N/A","N/A","N/A","All Other Miscellaneous Manufacturing","LABORATORY EQUIPMENT AND SUPPLIES","N/A","Total Small Business Set-Aside (FAR 19.5)"
"RFQ002709","Brand Name Only - Kaba Mas Equipment","PLEASE READ THIS NOTICE CAREFULLY AS IT CONSTITUTES THE ONLY NOTICE THAT WILL BE ISSUED. This is a combined synopsis/solicitation for commercial items prepared in accordance with the format in Federal Acquisition Regulations (FAR) Subpart 12.6, as supplemented with additional information included in this notice. This announcement constitutes the only solicitation; quotes are being requested and a written solicitation will not be issued. Interested parties are responsible for monitoring this site to ensure they have the most up to date information about this acquisition. No partial quotes will be considered. No partial awards will be made. The Request for Quote number is RFQ002790 and is being conducted as a 100% small business set aside. The NAICS Code for this requirement is 334290. The resultant contract will be a firm-fixed price contract. This RFQ incorporates provisions and clauses that are in effect through Federal Acquisition Circular 2005-58. This requirement will be awarded on an all or none basis as a commercial item, fixed price purchase order under the procedures at FAR Parts 12 and 13.This RFQ is being conducted as a total set-aside for small business concerns. Only quotes submitted by small business concerns will be accepted by the Government. Any quote that is submitted by a contractor that is not a small business concern will not be considered for award. The Federal Bureau of Investigation (FBI) requests pricing for the brand name products from Kaba Mas. If vendor is providing an ""equal"" product, the item must contain all technical specifications included. If these descriptive(s) are not included in the submitted quote, the quote shall be considered ""unresponsive"". Please see attached RFQ document for the required products and procedures. JA Docuements available upon request.","Sep 22, 2025 05:00 PM EDT","Sep 15, 2025","Sep 15, 2025","Solicitation","Jonathan Johnson","Active","N/A","N/A","N/A","Other Communications Equipment Manufacturing","HARDWARE","N/A","Total Small Business Set-Aside (FAR 19.5)"
"FA670325Q0020","Wood Gym Flooring","Combined Synopsis/Solicitation 94th Contracting Flight Dobbins Air Reserve Base, Georgia This is a combined synopsis/solicitation for commercial services prepared in accordance with the format in FAR Subpart 12.6, as supplemented with additional information included in this notice. This announcement constitutes the only solicitation; quotes are being requested and a written solicitation will NOT be issued. This is a Request for Quote (RFQ) and the solicitation number for this requirement is FA670325Q0020 Amendment 4. Deleting attach 7. Adding 9 addressing a sequencing issue along with Questions and Answers, and Sign in sheet of Site Visit.. All References to “offer” or “offeror” in the clauses and provisions incorporated below are deemed to have the meaning of “quotation” and “quoter” respectively. Any quotation received in response to this RFQ is not binding until the contractor either signs the purchase order issued at time of award, or starts performance. This RFQ and incorporated provisions and clauses are those in effect through the Federal Acquisition Circular (FAC) 2025-05, Defense Acquisition Circular (DAC) 20250807 and Department of the Air Force Acquisition Circular (DAFAC) 2024-1016. In accordance with FAR 52.219-1, the North American Industry Classification System (NAICS) is 238330. The small business size standard is $19M. The Government intends to award a single contract from this solicitation. This acquisition is set aside 100% for Small Businesses in accordance with FAR 19.502-2(a). Contract type will be firm fixed price. DESCRIPTION OF REQUIREMENT: Dobbins ARB requires the repair, screen & Recoat 7,004 sq feet of existing maple floor system. With the Optional Resurface (Deep Sanding & Refinish) as per Section 3.2 in SOW Attachment 9.The Repair, screen & recoat 7,004 sq feet of existing maple floor system. as per the Statement of Work (SOW) in attachment 9.will be covered in CLIN 0001. The Optional Resurface (Deep Sanding & Refinish) as per Section 3.2 in SOW Attachment 9 will be covered in CLIN 0002 Option to be determined at time of award of contract. FOB POINT: Destination, Dobbins ARB, Georgia 30069 NOTES: All offerors must be registered in the SAM database (https://www.sam.gov/portal/public/SAM/). Failure to register will make an offeror ineligible for award. Vendor must also be registered in Wide Area Work Flow (WAWF) to receive payment through electronic funds transfer. If you are not currently registered, please visit the following website https://piee.eb.mil/ to complete your registration. Registration in WAWF may occur after award. QUOTATIONS SHALL ALSO INCLUDE THE FOLLOWING REQUIRED DOCUMENTATION: 1. Contract Documentation: Completion of FAR 52.212-3, Offeror Representations and Certifications—Commercial Products and Commercial Services, via www.sam.gov and Attachment 2, Offerors Representation and Certifications 2. Price: Quoted prices must be submitted using the Pricing Schedule, attachment 8. Offerors shall insert unit prices in the pricing schedule, rounded to the nearest whole dollar (for example $2.00 not $1.67). Offerors rejecting the terms and conditions may be excluded from consideration. 3. Technical: As per the description. BASIS FOR AWARD: The Government will award on the basis of Lowest Price Technically Acceptable (LPTA). EVALUATION CLAUSE: Reference 52.212-2, Evaluation -- Commercial Items PRICE: Evaluation of price will consider the total prices for the quotes, sum of the total contract line items (CLIN). Each CLIN will be evaluated for fair and reasonable and balance. Prices will be the quantity multiplied by the unit price, rounded to the nearest whole dollar. Funding is available; however, based on quotes received, the Government may award One (1) CLIN or all CLINS. TECHNICAL: As per the Statement of Work. DELIVERY: Each CLIN will follow the directives in the SOW SITE VISIT INFORMATION: Site Visit is scheduled for 10:00 A.M. EDST on 8 Sep 2025. Site visit will begin at Bldg 812, 1538 Atlantic Ave, Dobbins ARB, GA 30069. to attend the site visit, interested parties MUST visit the Visitors Center, located next to the Main Gate, to obtain a visitors pass; ID will be required. A background check will be conducted on you. If you have a felony conviction within the last 10 years, you will not be allowed on base. If you received a Pardon for your conviction, you will not be allowed on base. ONLY ONE (1) SITE VISIT WILL BE HELD/CONDUCTED. You must also submit your Full Name, Date of Birth and Company, Citizenship and Drivers Lic # to the POC's listed below, No Later Than (NLT) 3 Sep 2025 prior to the scheduled site visit which is 10:00 A.M. Wed 8 Sep 2025 . Failure to submit information may result in denial of base access for the site visit. Requests for attendance shall be forwarded to W. Derrick Deeds at warren.deeds@us.af.mil. The Government is not responsible for electronic transmittal failures. Any questions generated from the site visit must be submitted in writing to W. Derrick Deeds at warren.deeds@us.af.mil and Kenneth Jacob at kenneth.jacob.1@us.af.mil. NLT 3:00 PM, 9 Sep 2025. The Contracting Officer will provide clarification(s) through amendment(s) to the solicitation following receipt of any questions. Any questions received after 3:00 PM, 9 Sep 2025 may or may not be answered. Submission of questions prior to the site visit is also encouraged. All vehicles are subject to search and should have on their person a valid driver's license, vehicle registration, and current proof of insurance. Offerors should allow sufficient time. DEADLINE: Quotations will be accepted electronically and must be submitted no later than Thursday, 18 Sep 2025 by 2:00PM EDST. All quotations shall be marked with the RFQ number and title. Emailed questions and quotations shall be sent to both the primary and alternate points of contact identified below with the attention to: CONTACT INFORMATION: Primary Point of Contact: Name W. Derrick Deeds Email: warren.deeds@us.af.mil Phone number 678-655-5276 Alternate Point of Contact: Name Kenneth Jacob Email: kenneth.jacob.1@us.af.mil Phone number 678 655 5745 Attachments: 1. Deleted 2. Offeror Representations and Certifications 3. Provision and Clauses 4. Deleted 5. Deleted 6. Wage Determination 7. Deleted 8. Updated Price Schedule 9. Updated SOW 10. Questions and Answers 11. Site Visist Sign in Sheet.","Sep 18, 2025 02:00 PM EDT","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","Warren Deeds | Kenneth J. Jacob","Active","N/A","N/A","N/A","Flooring Contractors","FLOOR COVERINGS","N/A","Total Small Business Set-Aside (FAR 19.5)"
"FA446025Q0348","Voicemail Services","The scope of this project includes the installation of a new Avaya IX Messaging System with the migration of all users, lines, ancillary systems, trunks, and services currently interfaced with the Little Rock AFB Avaya CM10 The Contractor shall be required to transition using Session Initiation Protocol (SIP). The Contractor shall provide the equipment needed as well as installation and integrating with current telephone system. Will allow the system to offer voicemail services to end users across the entire base. Vendors shall perform all work IAW with the Performance Work Statement (PWS). See following attachments"" - Combo - FA446025Q0348 - PWS Voicemail Service Updated - Addendum - 52.212-1 Instructions to Offeror - Addendum - 52.212-2 Evaluation - SSJ - Brand name - Voicemail Service Redacted - SCA Wage Determination - CLS - FA446025Q0348 - Voicemail Service","Sep 17, 2025 02:00 PM CDT","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","Alyssa Larson | lukas-sebastian Ashley","Active","N/A","N/A","N/A","Telephone Answering Services ","SUPPORT- PROFESSIONAL: COMMUNICATIONS","N/A","Total Small Business Set-Aside (FAR 19.5)"
